p1,dp1,m1,dm1,g1,dg1,p2,dp2,m2,dm2,g2,dg2
m/s,m/s,m/s,m/s,m/s,m/s
8.65e-2,0.03e-2,1.275e-1,0.007e-1,1.91e-1,0.01e-1,6.03e-2,0.03e-2,9.17e-2,0.05e-2,1.381e-1,0.009e-1
8.61e-2,0.04e-2,1.299e-1,0.009e-1,1.91e-1,0.01e-1,6.07e-2,0.03e-2,9.25e-2,0.06e-2,1.37e-1,0.01e-1
8.71e-2,0.04e-2,1.291e-1,0.008e-1,1.93e-1,0.01e-1,5.80e-2,0.03e-2,8.22e-2,0.05e-2,1.38e-1,0.01e-1
8.72e-2,0.04e-2,1.291e-1,0.008e-1,1.93e-1,0.01e-1,6.03e-2,0.03e-2,8.60e-2,0.05e-2,1.40e-1,0.01e-1
8.74e-2,0.04e-2,1.391e-1,0.008e-1,1.92e-1,0.01e-1,5.49e-2,0.02e-2,8.67e-2,0.05e-2,1.384e-1,0.008e-1
8.74e-2,0.04e-2,1.275e-1,0.007e-1,1.95e-1,0.01e-1,5.63e-2,0.03e-2,9.33e-2,0.05e-2,1.42e-1,0.01e-1
8.75e-2,0.04e-2,1.303e-1,0.008e-1,1.94e-1,0.01e-1,5.58e-2,0.03e-2,9.53e-2,0.06e-2,1.43e-1,0.01e-1
8.75e-2,0.04e-2,1.291e-1,0.008e-1,1.97e-1,0.02e-1,5.67e-2,0.03e-2,8.54e-2,0.05e-2,1.42e-1,0.01e-1
8.83e-2,0.04e-2,1.297e-1,0.009e-1,1.94e-1,0.01e-1,5.56e-2,0.03e-2,8.81e-2,0.05e-2,1.45e-1,0.01e-1
8.78e-2,0.05e-2,1.272e-1,0.008e-1,1.98e-1,0.02e-1,5.75e-2,0.03e-2,9.35e-2,0.05e-2,1.442e-1,0.010e-1
8.77e-2,0.04e-2,1.276e-1,0.007e-1,1.93e-1,0.01e-1,5.73e-2,0.03e-2,8.65e-2,0.05e-2,1.47e-1,0.01e-1
8.80e-2,0.04e-2,1.406e-1,0.009e-1,1.93e-1,0.01e-1,5.60e-2,0.03e-2,8.73e-2,0.05e-2,1.440e-1,0.009e-1
9.70e-2,0.05e-2,1.313e-1,0.008e-1,1.98e-1,0.01e-1,5.73e-2,0.03e-2,8.93e-2,0.06e-2,1.43e-1,0.01e-1
9.58e-2,0.05e-2,1.321e-1,0.009e-1,1.94e-1,0.01e-1,5.66e-2,0.03e-2,8.72e-2,0.06e-2,1.46e-1,0.01e-1
,1.394e-1,0.009e-1,1.96e-1,0.01e-1,5.58e-2,0.03e-2,8.67e-2,0.05e-2,1.47e-1,0.01e-1
,1.276e-1,0.008e-1,1.96e-1,0.01e-1,5.73e-2,0.03e-2,8.51e-2,0.05e-2,1.43e-1,0.01e-1
,1.312e-1,0.008e-1,1.94e-1,0.01e-1,,8.40e-2,0.05e-2,1.44e-1,0.01e-1
,1.306e-1,0.008e-1,2.00e-1,0.02e-1,,8.55e-2,0.05e-2,1.42e-1,0.01e-1
,1.282e-1,0.009e-1,1.94e-1,0.01e-1,,8.69e-2,0.05e-2,1.46e-1,0.01e-1
,1.288e-1,0.009e-1,1.98e-1,0.01e-1,,8.59e-2,0.05e-2,1.41e-1,0.01e-1
,1.311e-1,0.009e-1,1.97e-1,0.02e-1,,8.36e-2,0.04e-2,1.45e-1,0.01e-1
,1.310e-1,0.010e-1,1.99e-1,0.01e-1,,8.60e-2,0.05e-2,1.50e-1,0.01e-1
,1.302e-1,0.010e-1,1.97e-1,0.01e-1,,8.41e-2,0.05e-2,1.49e-1,0.01e-1
,1.301e-1,0.009e-1,1.95e-1,0.01e-1,,8.59e-2,0.05e-2,1.48e-1,0.01e-1
,1.310e-1,0.009e-1,1.98e-1,0.02e-1,,8.56e-2,0.04e-2,1.47e-1,0.01e-1
,1.334e-1,0.009e-1,1.97e-1,0.02e-1,,8.52e-2,0.05e-2,1.38e-1,0.01e-1
,1.97e-1,0.01e-1,,8.43e-2,0.05e-2,1.48e-1,0.01e-1
,1.98e-1,0.02e-1,,,1.43e-1,0.01e-1
,2.01e-1,0.02e-1,,,1.45e-1,0.01e-1
,2.02e-1,0.01e-1,,,1.47e-1,0.01e-1
,1.97e-1,0.02e-1,,,1.43e-1,0.02e-1
,1.94e-1,0.01e-1,,,1.52e-1,0.02e-1
