t,z
s,m
0.0,0.17554492384758952
0.032,0.16753673457090926
0.0639333333333334,0.16086324350700903
0.09596666666666624,0.1535224033367188
0.12796666666666623,0.14684891227281857
0.16,0.1394127365159012
0.2079333333333334,0.1328345810386281
0.2399333333333334,0.12625642556135502
0.2719333333333334,0.11910625656431909
0.3039666666666667,0.112528101087046
0.3359999999999995,0.1063312879562815
0.36799999999999955,0.09937179013249986
0.3999999999999995,0.09327031258836249
0.4319666666666667,0.08669215711108944
0.4639333333333329,0.08040000839369779
0.4959666666666667,0.07420319526293329
0.5279333333333329,0.06829238889205025
0.56,0.06257225369442149
0.6079333333333334,0.0559940982171484
0.6398999999999997,0.049797285086383924
0.6718666666666668,0.0441724854753823
0.7038999999999996,0.038452350277753566
0.736,0.03206486597373476
0.7678999999999996,0.026344730776105996
0.8,0.019671239712205746
0.8320333333333333,0.01433244686108559
0.8639333333333329,0.008326304903575388
0.8959000000000001,0.002224827359438075
