Dadi {Rosso},,Dadi {Verde},,Dadi {Blu},,Dadi {Viola},,Dadi {Nero},,Dadi {Bianco},,Dadi {Rosso Verde},,Dadi {Rosso Blu},,Dadi {Rosso Viola},,Dadi {Rosso Nero},,Dadi {Rosso Bianco},,Dadi {Verde Blu},,Dadi {Verde Viola},,Dadi {Verde Nero},,Dadi {Verde Bianco},,Dadi {Blu Viola},,Dadi {Blu Nero},,Dadi {Blu Bianco},,Dadi {Viola Nero},,Dadi {Viola Bianco},,Dadi {Nero Bianco},,Dadi {Rosso Verde Blu},,Dadi {Rosso Verde Viola},,Dadi {Rosso Verde Nero},,Dadi {Rosso Verde Bianco},,Dadi {Rosso Blu Viola},,Dadi {Rosso Blu Nero},,Dadi {Rosso Blu Bianco},,Dadi {Rosso Viola Nero},,Dadi {Rosso Viola Bianco},,Dadi {Rosso Nero Bianco},,Dadi {Verde Blu Viola},,Dadi {Verde Blu Nero},,Dadi {Verde Blu Bianco},,Dadi {Verde Viola Nero},,Dadi {Verde Viola Bianco},,Dadi {Verde Nero Bianco},,Dadi {Blu Viola Nero},,Dadi {Blu Viola Bianco},,Dadi {Blu Nero Bianco},,Dadi {Viola Nero Bianco},,Dadi {Rosso Verde Blu Viola},,Dadi {Rosso Verde Blu Nero},,Dadi {Rosso Verde Blu Bianco},,Dadi {Rosso Verde Viola Nero},,Dadi {Rosso Verde Viola Bianco},,Dadi {Rosso Verde Nero Bianco},,Dadi {Rosso Blu Viola Nero},,Dadi {Rosso Blu Viola Bianco},,Dadi {Rosso Blu Nero Bianco},,Dadi {Rosso Viola Nero Bianco},,Dadi {Verde Blu Viola Nero},,Dadi {Verde Blu Viola Bianco},,Dadi {Verde Blu Nero Bianco},,Dadi {Verde Viola Nero Bianco},,Dadi {Blu Viola Nero Bianco},,Dadi {Rosso Verde Blu Viola Nero},,Dadi {Rosso Verde Blu Viola Bianco},,Dadi {Rosso Verde Blu Nero Bianco},,Dadi {Rosso Verde Viola Nero Bianco},,Dadi {Rosso Blu Viola Nero Bianco},,Dadi {Verde Blu Viola Nero Bianco},,Geiger -1,,Geiger 0,,Geiger 1,,Geiger 2,,Geiger 3,,Geiger 4,,Geiger 5,
350,333.33333333333337,330,333.33333333333337,341,333.33333333333337,343,333.33333333333337,347,333.33333333333337,325,333.33333333333337,289,277.7777777777778,298,277.7777777777778,301,277.7777777777778,301,277.7777777777778,288,277.7777777777778,280,277.7777777777778,283,277.7777777777778,283,277.7777777777778,272,277.7777777777778,294,277.7777777777778,296,277.7777777777778,279,277.7777777777778,301,277.7777777777778,282,277.7777777777778,283,277.7777777777778,246,231.48148148148152,248,231.48148148148152,245,231.48148148148152,242,231.48148148148152,256,231.48148148148152,257,231.48148148148152,248,231.48148148148152,262,231.48148148148152,251,231.48148148148152,248,231.48148148148152,242,231.48148148148152,241,231.48148148148152,233,231.48148148148152,245,231.48148148148152,237,231.48148148148152,233,231.48148148148152,259,231.48148148148152,243,231.48148148148152,242,231.48148148148152,248,231.48148148148152,211,192.90123456790127,210,192.90123456790127,209,192.90123456790127,213,192.90123456790127,212,192.90123456790127,205,192.90123456790127,224,192.90123456790127,215,192.90123456790127,213,192.90123456790127,219,192.90123456790127,211,192.90123456790127,204,192.90123456790127,199,192.90123456790127,206,192.90123456790127,213,192.90123456790127,183,160.7510288065844,182,160.7510288065844,177,160.7510288065844,183,160.7510288065844,187,160.7510288065844,177,160.7510288065844,12,6.45261269359243,3015,3010.8471431533967,1746,1749.669375246492,1619,1628.2567596262456,102,92.94327303387212,2787,2785.8755330704253,2941,2936.850349952648
50,66.66666666666666,70,66.66666666666666,59,66.66666666666666,57,66.66666666666666,53,66.66666666666666,75,66.66666666666666,102,111.11111111111111,95,111.11111111111111,91,111.11111111111111,95,111.11111111111111,99,111.11111111111111,111,111.11111111111111,107,111.11111111111111,111,111.11111111111111,111,111.11111111111111,96,111.11111111111111,96,111.11111111111111,108,111.11111111111111,88,111.11111111111111,104,111.11111111111111,106,111.11111111111111,129,138.8888888888889,129,138.8888888888889,138,138.8888888888889,123,138.8888888888889,125,138.8888888888889,124,138.8888888888889,121,138.8888888888889,117,138.8888888888889,118,138.8888888888889,128,138.8888888888889,131,138.8888888888889,136,138.8888888888889,132,138.8888888888889,132,138.8888888888889,126,138.8888888888889,139,138.8888888888889,114,138.8888888888889,126,138.8888888888889,132,138.8888888888889,122,138.8888888888889,148,154.32098765432102,149,154.32098765432102,133,154.32098765432102,148,154.32098765432102,130,154.32098765432102,148,154.32098765432102,138,154.32098765432102,138,154.32098765432102,143,154.32098765432102,133,154.32098765432102,143,154.32098765432102,139,154.32098765432102,153,154.32098765432102,139,154.32098765432102,140,154.32098765432102,154,160.75102880658437,141,160.75102880658437,151,160.75102880658437,140,160.75102880658437,149,160.75102880658437,148,160.75102880658437,25,29.256854559133735,575,585.3738908345816,1298,1289.8847786886909,1347,1317.4765522926061,392,341.3257196732028,756,757.9836356043405,636,644.0672629647316
,,,,,,,,,,,,9,11.11111111111111,7,11.11111111111111,8,11.11111111111111,4,11.11111111111111,13,11.11111111111111,9,11.11111111111111,10,11.11111111111111,6,11.11111111111111,17,11.11111111111111,10,11.11111111111111,8,11.11111111111111,13,11.11111111111111,11,11.11111111111111,14,11.11111111111111,11,11.11111111111111,25,27.77777777777778,21,27.77777777777778,16,27.77777777777778,33,27.77777777777778,16,27.77777777777778,19,27.77777777777778,30,27.77777777777778,20,27.77777777777778,29,27.77777777777778,22,27.77777777777778,26,27.77777777777778,23,27.77777777777778,33,27.77777777777778,21,27.77777777777778,35,27.77777777777778,25,27.77777777777778,26,27.77777777777778,28,27.77777777777778,23,27.77777777777778,27,27.77777777777778,35,46.296296296296305,40,46.296296296296305,53,46.296296296296305,36,46.296296296296305,53,46.296296296296305,42,46.296296296296305,33,46.296296296296305,38,46.296296296296305,38,46.296296296296305,43,46.296296296296305,42,46.296296296296305,49,46.296296296296305,40,46.296296296296305,51,46.296296296296305,37,46.296296296296305,55,64.30041152263377,62,64.30041152263377,61,64.30041152263377,69,64.30041152263377,48,64.30041152263377,61,64.30041152263377,57,66.32689573514097,65,56.90468093839041,468,475.462040380737,501,533.0069890940418,634,626.7438358232313,103,103.116450290719,74,70.62372776835039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.8518518518518514,1,1.8518518518518514,2,1.8518518518518514,3,1.8518518518518514,,,1,1.8518518518518514,1,1.8518518518518514,2,1.8518518518518514,2,1.8518518518518514,1,1.8518518518518514,,,2,1.8518518518518514,2,1.8518518518518514,2,1.8518518518518514,3,1.8518518518518514,1,1.8518518518518514,3,1.8518518518518514,3,1.8518518518518514,3,1.8518518518518514,6,6.1728395061728385,1,6.1728395061728385,5,6.1728395061728385,2,6.1728395061728385,4,6.1728395061728385,4,6.1728395061728385,5,6.1728395061728385,9,6.1728395061728385,6,6.1728395061728385,4,6.1728395061728385,4,6.1728395061728385,8,6.1728395061728385,8,6.1728395061728385,2,6.1728395061728385,10,6.1728395061728385,7,12.860082304526749,14,12.860082304526749,10,12.860082304526749,6,12.860082304526749,15,12.860082304526749,12,12.860082304526749,114,100.24447636065398,2,3.6878341215199697,121,116.83945500560267,158,143.75787810858347,723,767.2199175194601,11,9.352006930932951,6,5.162722602334975
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3086419753086419,1,0.3086419753086419,1,0.3086419753086419,,,,,,,1,0.3086419753086419,,,,,,,2,0.3086419753086419,,,1,1.2860082304526748,1,1.2860082304526748,1,1.2860082304526748,1,1.2860082304526748,1,1.2860082304526748,2,1.2860082304526748,111,113.62986609100754,,,22,21.53398760562653,26,29.079816880181745,645,704.3863475722143,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05144032921810698,,,,,95,103.04205826888371,,,1,3.1750413226562273,4,4.705888878778112,508,517.3589635162613,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,77.86733465965285,,,1,0.3901153680558376,2,0.634615130448657,323,316.6589590749881,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,50.43700664310768,,,,,,,182,166.12874801269933,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,28.585865869897766,,,,,,,88,76.26159029978645,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14.401272785260012,,,,,,,43,31.118195172914408,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.5296952312535,,,,,,,12,11.42787424589118,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.6914868408963533,,,,,,,4,3.815257193484937,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.1675987628407325,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.32983848435983754,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.08652156031393059,,,,
