,Tempi (p3d1),Picchi (p3d1)
0,16.633499999999998,-1.2157080605443569
1,17.727999999999998,-1.246532418744732
2,18.823999999999998,-1.246532418744732
3,19.918,-1.2747529863869833
4,21.0125,-1.292804018032552
5,22.1065,-1.322381035376238
6,23.2005,-1.322381035376238
7,24.2955,-1.3413209954771594
8,25.387999999999998,-1.3723914559508992
9,26.4815,-1.3923124334454537
10,27.574999999999996,-1.4085399700672103
11,28.668,-1.429201862131167
12,29.760500000000004,-1.4460443655256647
13,30.855500000000006,-1.4631754054558483
14,31.947999999999997,-1.4850103340590484
15,33.037,-1.5209692644464923
16,34.1295,-1.5441184463134576
17,35.221,-1.5630315396199446
18,36.3155,-1.5630315396199446
19,37.4095,-1.5823092450458476
20,38.4975,-1.606941032235513
21,39.589,-1.627092847672821
22,40.679500000000004,-1.6528674703614363
23,41.7705,-1.6739764335716716
24,42.8615,-1.695540611487512
25,43.95250000000001,-1.7231666777624433
26,45.047,-1.7231666777624433
27,46.135000000000005,-1.7458305373396552
28,47.226000000000006,-1.7690199822585657
29,48.315999999999995,-1.7987840841650196
30,49.4085,-1.7987840841650196
31,50.49799999999999,-1.823250136319426
32,51.5875,-1.8483298207164496
33,52.68,-1.8483298207164496
34,53.7685,-1.8805906829346706
35,54.85800000000001,-1.9071703207393826
36,55.9495,-1.9071703207393826
37,57.039,-1.941420243782461
38,58.13099999999999,-1.941420243782461
39,59.219,-1.9696906777207166
40,60.312999999999995,-1.9696906777207166
41,61.3995,-1.9987836386623814
42,62.48850000000001,-2.036382052219389
43,63.578500000000005,-2.036382052219389
44,64.668,-2.0675129708145623
45,65.75849999999998,-2.0675129708145623
46,66.847,-2.0675129708145623
47,67.9375,-2.0675129708145623
48,69.026,-2.0996442489973552
49,70.11600000000001,-2.0996442489973552
50,71.20449999999998,-2.1413169453979233
51,72.2945,-2.1413169453979233
52,73.38350000000001,-2.1759524420606797
53,74.473,-2.1759524420606797
54,75.56450000000001,-2.1759524420606797
55,76.6515,-2.2118307297255817
56,77.741,-2.2118307297255817
57,78.82950000000001,-2.2585682075772713
58,79.91900000000001,-2.2585682075772713
59,81.011,-2.2585682075772713
60,82.09649999999999,-2.2975975514830065
61,83.18650000000001,-2.2585682075772713
62,84.2745,-2.2975975514830065
63,85.364,-2.2975975514830065
64,86.45400000000001,-2.2975975514830065
65,87.54149999999998,-2.3486290314954523
66,88.6305,-2.3486290314954523
67,89.7205,-2.3486290314954523
68,90.80850000000001,-2.3914163067006613
69,91.898,-2.3486290314954523
70,92.988,-2.3914163067006613
71,94.07449999999999,-2.436116485618568
72,95.164,-2.436116485618568
73,96.25400000000003,-2.436116485618568
74,97.34150000000001,-2.494956985641502
75,98.43100000000001,-2.494956985641502
76,99.52049999999998,-2.494956985641502
