,I/MD,T²/4π²
0,0.05686970075234637,0.40456732194730477
1,0.031100485857736403,0.26283661083802123
2,0.03590104177089682,0.3436135465714898
3,0.05380992771110619,0.49854320648705536
4,0.03461783311529922,0.2948379919923414
5,0.036511387697639223,0.313650224909815
6,0.043640205348273176,0.403185812078249
7,0.04340217205489846,0.3414949567042882
8,0.036650243261578064,0.2735122219492365
9,0.04214895386793343,0.3806044470383239
10,0.027476117544775504,0.26401787279091393
11,0.037851317662470706,0.36271710762202836
