R,I,I,V,
0.1,2.02,1.7,220e-3,
0.2,1.88,1.5,350e-3,
0.3,1.72,,,
0.4,1.54,1.2,540e-3,
0.5,1.30,,,
0.6,1.19,,,
0.8,1.057,0.89,0.76,
1,0.9,0.71,0.83,
2,638e-3,434e-3,1.00,
4,421e-3,202.9e-3,1.12,
6,320e-3,,,
8,204e-3,129.2e-3,1.19,
10,197e-3,92e-3,1.21,
20,110e-3,54e-3,1.25,
40,57.4e-3,31.3e-3,1.26,
60,39.4e-3,,,
80,31.7e-3,16.0e-3,1.27,
100,,11.9e-3,1.26,
200,,6.49e-3,1.27,
400,,3.29e-3,1.28,
800,,1.52e-3,1.28,
1e3,,1.34e-3,1.29,
2e3,,671e-6,1.29,
4e3,,336e-6,1.30,
8e3,,168.3e-6,1.30,
10e3,,134.7e-6,1.30,
